countyid,e2013,e2010,e2015,e2020,e2025,e2030,e2035,e2040,e2045,e2050
41001,5929,6319,6788,7051,7364,7644,7946,8243,8544,8843
41003,34050,41142,45495,48220,51351,54212,57253,60249,63275,66281
41005,160794,154417,174506,187588,202421,216087,230531,244781,259161,273455
41007,16992,18933,20794,21867,23136,24275,25501,26705,27924,29133
41009,21548,10876,11932,12657,13464,14217,15006,15786,16572,17354
41011,21594,23990,25848,26322,27142,27732,28476,29182,29914,30629
41013,7302,6508,7234,7716,8259,8762,9292,9815,10343,10868
41015,7050,6984,7525,7664,7902,8074,8290,8495,8708,8916
41017,57867,67008,74488,80661,87160,93442,99869,106260,112675,119074
41019,37273,38488,42518,45452,48660,51686,54834,57951,61089,64213
41021,818,1057,1160,1166,1195,1209,1233,1255,1279,1302
41023,2565,2664,2844,2936,3049,3148,3257,3363,3471,3578
41025,2429,2564,2736,2798,2886,2957,3040,3120,3202,3283
41027,10045,14538,15972,17016,18157,19234,20354,21463,22580,23692
41029,74545,85431,87397,93656,98841,104742,110166,115709,121173,126690
41031,7370,6567,7300,7748,8266,8738,9241,9736,10237,10734
41033,25889,25116,25694,27534,29058,30793,32388,34018,35625,37248
41035,22585,24923,27130,28553,30171,31659,33234,34787,36355,37913
41037,2394,2456,2674,2791,2932,3057,3193,3326,3461,3595
41039,136553,156592,174557,187174,201128,214191,227848,241357,254965,268507
41041,18425,19177,21265,21952,22989,23793,24753,25674,26621,27551
41043,45456,48074,53160,56357,60025,63379,66943,70454,74001,77524
41045,10097,14760,15798,16496,17279,18006,18771,19527,20289,21047
41047,117726,154750,171225,182969,195895,208033,220697,233229,245849,258411
41049,4301,4828,4939,5211,5442,5701,5942,6187,6430,6675
41051,324331,474496,535200,574341,618871,659809,703142,745876,789010,831878
41053,29357,18385,20343,21861,23489,25044,26648,28240,29840,31435
41055,734,708,779,803,838,866,899,931,964,997
41057,10374,9688,10638,11196,11851,12442,13076,13699,14330,14956
41059,28586,33471,34242,35928,37384,38994,40502,42035,43552,45080
41061,10121,11102,12022,12561,13195,13766,14379,14982,15592,16198
41063,2634,2700,2910,3038,3185,3320,3463,3604,3747,3889
41065,10204,12229,13434,14398,15421,16405,17415,18419,19427,20433
41067,229123,266179,300232,324596,351382,376554,402802,428781,454940,480979
41069,437,323,355,379,404,429,454,479,504,529
41071,38597,32288,35727,38441,41335,44109,46963,49797,52645,55484
