countyid,regionid,regionname
41001,5,Region 5
41003,2b,Region 2b
41005,1,Region 1
41007,2a,Region 2a
41009,2a,Region 2a
41011,3,Region 3
41013,4,Region 4
41015,3,Region 3
41017,4,Region 4
41019,3,Region 3
41021,4,Region 4
41023,5,Region 5
41025,5,Region 5
41027,1,Region 1
41029,3,Region 3
41031,4,Region 4
41033,3,Region 3
41035,4,Region 4
41037,4,Region 4
41039,2b,Region 2b
41041,2b,Region 2b
41043,2b,Region 2b
41045,5,Region 5
41047,2a,Region 2a
41049,5,Region 5
41051,1,Region 1
41053,2a,Region 2a
41055,4,Region 4
41057,2a,Region 2a
41059,5,Region 5
41061,5,Region 5
41063,5,Region 5
41065,4,Region 4
41067,1,Region 1
41069,4,Region 4
41071,2a,Region 2a
